submission,first_name,last_name,country,affiliation,Web_page,person,corresponding?
104,Thom,van Gessel,Netherlands,TNO,,148,yes
104,Giulia,Biagioni,Netherlands,TNO,,149,yes
104,Jeroen,Breteler,Netherlands,TNO,,147,yes
104,Ioannis,Tolios,Netherlands,TNO,,282,yes
104,Erik,Boertjes,Netherlands,TNO,,283,yes
247,Francesca,Grasso,Italy,University of Turin,,1,yes
247,Vladimiro,Lovera Rulfi,Italy,University of Bologna,,2,no
247,Luigi,Di Caro,Italy,University of Turin,,3,no
264,Julia,Becker,Germany,Universität Bielefeld,,12,no
264,Mario,Botsch,Germany,TU Dortmund University,,8,no
264,Mohammad Fazleh,Elahi,Germany,Universität Bielefeld,,6,yes
264,Melanie,Derksen,Germany,TU Dortmund University,,7,no
264,Philipp,Cimiano,Germany,Universität Bielefeld,http://www.sc.cit-ec.uni-bielefeld.de/team/philipp-cimiano/,5,no
264,Angelika,Maier,Germany,Universität Bielefeld,,4,yes
264,Marius,Maile,Germany,Universität Bielefeld,,10,no
264,Ingo Oliver,Pätzold,Germany,Universität Bielefeld,,11,no
264,Jonas,Penningroth,Germany,Universität Bielefeld,,284,no
264,Bettina,Reglin,Germany,Universität Bielefeld,,14,no
264,Markus,Rothgänger,Germany,Universität Bielefeld,,13,no
264,Silke,Schwandt,Germany,Universität Bielefeld,,9,no
319,Wouter,Beek,Netherlands,Triply B.V.,https://triplydb.com/wouter,15,yes
319,Flores,Bakker,Netherlands,Not affiliated,,16,no
384,Ana,Iglesias-Molina,Spain,Universidad Politécnica de Madrid,,285,yes
384,Daniel,Garijo,Spain,Universidad Politécnica de Madrid,https://w3id.org/people/dgarijo,286,yes
460,Wouter,Beek,Netherlands,Triply B.V.,https://triplydb.com/wouter,15,yes
460,Enno,Meijers,Netherlands,Dutch Digital Heritage Network,,17,yes
460,Erwin,Folmer,Netherlands,"TU Twente, Kadaster",,18,yes
460,Ivo,Zandhuis,Netherlands,Ivo Zandhuis Onderzoek en Advies,https://ivozandhuis.nl,19,yes
460,Richard,Zijdeman,Netherlands,International Institute for Social History,,20,yes
460,Pieter,van Everdingen,Netherlands,Platform Linked Data Netherlands,,21,yes
460,Mark,Lindeman,Netherlands,Triply B.V.,https://triplydb.com/mark-lindeman,22,yes
589,Carlos,Arias,United States,International Finance Corporation,,23,yes
600,Thomas,Vout,United Kingdom,Oxford Semantic Technologies,,24,yes
600,Peter,Crocker,United Kingdom,Oxford Semantic Technologies,,25,no
600,Mikkel H.,Brynildsen,Denmark,Grundfos,https://www.linkedin.com/in/mikkel-haggren-brynildsen-77319926/,26,no
640,Darya,Martyniuk,Germany,Data Analytics Center Fraunhofer FOKUS,,27,yes
640,Naouel,Karam,Germany,Data Analytics Center Fraunhofer FOKUS,,28,yes
640,Michael,Falkenthal,Germany,Anaqor AG,,29,yes
640,Yufan,Dong,Germany,Data Analytics Center Fraunhofer FOKUS,,30,no
640,Adrian,Paschke,Germany,"Data Analytics Center Fraunhofer FOKUS, Freie Universität Berlin",,31,yes
650,Paula,Reyero Lobo,United Kingdom,The Open University,,32,yes
650,Enrico,Daga,United Kingdom,The Open University,http://kmi.open.ac.uk/people/member/enrico-daga,33,yes
650,Harith,Alani,United Kingdom,The Open University,http://people.kmi.open.ac.uk/harith/,34,yes
650,Miriam,Fernandez,United Kingdom,Knowledge Media Institute,http://kmi.open.ac.uk/people/member/miriam-fernandez,35,yes
671,Prasad,Yalamanchi,United States,"Lead Semantics, Inc.",https://www.leadsemantics.com,36,yes
760,Leon,Martin,Germany,University of Bamberg,,37,yes
847,Steven,Williams,United States,"NYU Langone (Linda Williams, Ovarian Cancer patient), U.S. S.Ct. (Williams v. U.S., et al., 19-5405 (U.S. S.Ct.))",https://theatre.academia.edu/StevenTalbertWilliams,38,yes
905,Nick,Garabedian,Germany,KIT,https://nick-garabedian.com/,99,yes
905,Ilia,Bagov,Germany,"Karlsruhe Institute of Technology, Institute for Applied Materials (IAM)",,100,yes
905,Malte,Flachmann,Germany,KIT,,101,yes
905,Nuoyao,Ye,Germany,KIT,,102,yes
905,Miłosz,Meller,Germany,Hereon,,103,yes
905,Floriane,Bresser,Germany,KIT,,104,yes
905,Christian,Greiner,Germany,KIT IAM-ZBS,http://www.iam.kit.edu/zbs/,105,yes
1007,Kurt,Junghanns,Germany,Institut für Angewandte Informatik e. V.,http://aksw.org/KurtJunghanns,39,yes
1007,Michael,Martin,Germany,Institut für Angewandte Informatik e. V.,,40,yes
1007,Lars-Peter,Meyer,Germany,"Institute for Applied Informatics at the University of Leipzig, Goerdelerring 9, 04109 Leipzig, Germany",,41,yes
1125,Thomas,Vout,United Kingdom,Oxford Semantic Technologies,,24,yes
1125,Peter,Crocker,United Kingdom,Oxford Semantic Technologies,,25,no
1161,Achim,Reiz,Germany,Rostock University,,287,yes
1161,Robert,Schlücker,Germany,Rostock University,,288,no
1161,Kurt,Sandkuhl,Germany,Rostock University,,289,yes
1254,Angelo Antonio,Salatino,United Kingdom,The Open University,https://salatino.org,42,yes
1254,Danilo,Dessí,Germany,GESIS – Leibniz-Institute for the Social Sciences,,43,yes
1263,Xinni,Wang,Germany,Karlsruher Institut für Technologie (KIT),,44,yes
1263,Tobias,Käfer,Germany,Karlsruhe Institute of Technology,,45,yes
1331,Manoé,Kieffer,France,Nantes Université,https://www.linkedin.com/in/manoé-kieffer-051564196/,46,yes
1331,Ginwa,Fakih,France,Nantes Université,https://fr.linkedin.com/in/ghenwa-fkh,47,yes
1331,Patricia,Serrano Alvarado,France,Nantes Université,https://pagespersowp.ls2n.fr/patriciaserrano/,48,yes
1369,J. Nathanael,Philipp,Germany,"Serbski institut, University Leipzig",https://jnphilipp.org,49,yes
1369,Max,Kölbl,Japan,Osaka University,,50,no
1369,Erik,Daas,Germany,Leipzig University,,51,no
1369,Yuki,Kyogoku,Germany,Leipzig University,,52,no
1369,Michael,Richter,Germany,Universität Leipzig,,53,yes
1683,Alexander,Becker,Germany,Paderborn University/ Computer Science/,,54,yes
1683,Abdullah,Ahmed,Germany,Paderborn University/ Computer Science/ Data Science Research Group (DICE),,55,yes
1683,Mohamed Ahmed,Sherif,Germany,"Paderborn University, Data Science Group",https://dice-research.org/MohamedAhmedSherif,56,yes
1683,Axel-Cyrille,Ngonga Ngomo,Germany,Paderborn University,https://cs.upb.de/ds,57,yes
1796,Enno,Meijers,Netherlands,National Library of the Netherlands / CTO Dutch Digital Heritage Network,,17,yes
1798,Liubov,Kovriguina,Germany,metaphacts GmbH,,187,yes
1798,Roman,Teucher,Germany,Fraunhofer IAIS,,188,yes
1798,Daniil,Radyush,Russia,ITMO University,,189,yes
1798,Dmitry,Mouromtsev,Germany,TIB Hannover,,190,yes
1892,Christian,Dirschl,Germany,Wolters Kluwer Germany,,58,yes
1892,Anke,Losch,Germany,Wolters Kluwer,,59,yes
1944,Giray,Havur,Austria,St. Pölten University of Applied Sciences,,60,yes
1944,Tassilo,Pellegrini,Austria,St. Pölten University of Applied Sciences,,61,yes
1999,Madi,Solomon,United Kingdom,Graphifi,http://graphifi.com,137,yes
1999,James,Phare,United Kingdom,Neural Alpha,http://neuralalpha.com,138,yes
2081,Sumin,Seo,South Korea,Naver,,62,yes
2081,Heeseon,Cheon,South Korea,Naver,,63,no
2081,Hyunho,Kim,South Korea,Naver,,64,yes
2081,Dongseok,Hyun,South Korea,Naver,,65,no
2188,Thomas,Vout,United Kingdom,Oxford Semantic Technologies,,24,yes
2188,Peter,Crocker,United Kingdom,Oxford Semantic Technologies,,25,no
2188,Valerio,Cocchi,United Kingdom,Oxford Semantic Technologies,,66,no
2198,Ed,Kool,Netherlands,Semanta college,https://www.semanta.nl,67,yes
2360,Thorsten,Liebig,Germany,derivo GmbH,http://www.derivo.de/en/,243,yes
2360,Michael,Opitz,Germany,derivo GmbH,,290,yes
2360,Vincent,Vialard,Germany,derivo GmbH,,291,yes
2360,Maximilian,Wenzel,Germany,derivo GmbH,,292,yes
2366,Mary-Jane,Antia,South Africa,"University of Cape Town, Department of Computer Science",,68,yes
2366,Maria,Keet,South Africa,"University of Cape Town, Department of Computer Science",http://www.meteck.org,69,yes
2631,Edlira,Vakaj,United Kingdom,Birmingham City University,https://www.bcu.ac.uk/computing/about-us/our-staff/edlira-vakaj,70,yes
2631,Sanju,Tiwari,Mexico,Universidad Autónoma de Tamaulipas Tamaulipas,,71,yes
2647,Yashrajsinh,Chudasama,Germany,Leibniz University Hannover,,293,yes
2647,Disha,Purohit,Germany,"TIB Leibniz Information Centre for Science and Technology, Hannover, Germany",,294,yes
2647,Philipp D.,Rohde,Germany,"TIB Leibniz Information Centre for Science and Technology, Hannover, Germany",,295,yes
2647,Maria-Esther,Vidal,Germany,"TIB Leibniz Information Centre for Science and Technology, Hannover, Germany",,296,yes
2718,Tomas,Knap,Austria,Semantic Web Company,,72,yes
2798,Svetla,Koeva,Bulgaria,IBL-BAS,,73,yes
2807,Sarra,Ouelhadj,France,LIRIS & Métropole de Lyon,,74,yes
